ID,Question Number,Date,Topic,Tags,Question,Correct Answer,Explanation,Option 1,Option 2,Option 3,Option 4
10528,3196,2025-07-03 10:07:53+00:00,Abortion,#Obstetrics,Which type of abortion will present with an open cervix?,Incomplete,"Incomplete abortion is defined by clinical presence of an open cervical os and bleeding, whereby all products of conception have not been expelled from the uterus. The rest are closed cervix.",Complete,Incomplete,Missed,Threatened
10539,3197,2025-07-04 01:14:17+00:00,Ovaries and Fallopian Tube,"#Pathology, #Obstetrics",Which of the following best explains the frequent coexistence of endometrioid ovarian carcinoma with synchronous endometrial carcinoma?,Shared origin from Müllerian epithelium and exposure to estrogenic stimulation,"Endometrioid carcinomas of the ovary and endometrium often coexist due to a common origin from Müllerian epithelium and shared risk factors, particularly unopposed estrogen exposure.",Hematogenous spread from the ovary to the endometrium,High rate of germline TP53 mutations,Shared origin from Müllerian epithelium and exposure to estrogenic stimulation,Metastasis of endometrial carcinoma to the ovary in all cases
10541,3198,2025-07-04 01:16:34+00:00,Hemapathology & Morphology,"#Pathology, #Hematology",Which of the following genetic abnormalities is most characteristic of follicular lymphoma?,t(14;18)(q32;q21) BCL2-IgH translocation,"Follicular lymphoma is most commonly associated with the t(14;18) translocation, which leads to overexpression of BCL2, an anti-apoptotic protein.",t(9;22)(q34;q11) BCR-ABL1 fusion,t(11;14)(q13;q32) CCND1-IgH translocation,t(14;18)(q32;q21) BCL2-IgH translocation,t(8;14)(q24;q32) MYC-IgH translocation
10543,3199,2025-07-04 01:19:10+00:00,Psoriasis,"#Pathology, #Dermatology",Which of the following histopathologic features is most characteristic of psoriasis vulgaris?,Hyperkeratosis with parakeratosis and elongation of rete ridges,"Psoriasis shows hyperkeratosis, parakeratosis, and elongated rete ridges. These features reflect rapid keratinocyte turnover.",Subepidermal blister with eosinophils,Hyperkeratosis with parakeratosis and elongation of rete ridges,Granulomatous inflammation with caseating necrosis,Suprabasal acantholysis and intraepidermal blister formation
10545,3200,2025-07-04 01:27:15+00:00,Female Reproductive Tract,"#Pathology, #Obstetrics, #InfectiousDiseases",Which molecular mechanism primarily drives the oncogenesis of cervical squamous cell carcinoma induced by high-risk human papillomavirus (HPV)?,E6-mediated degradation of p53 and E7-mediated inactivation of Rb protein,"High-risk HPV oncogenesis involves E6 protein causing degradation of p53, impairing apoptosis, and E7 protein inactivating the retinoblastoma (Rb) protein, leading to unchecked cell cycle progression.",Overexpression of p53 tumor suppressor protein,E6-mediated degradation of p53 and E7-mediated inactivation of Rb protein,Activation of Wnt/β-catenin signaling by E5 protein,Amplification of the HER2/neu oncogene
10547,3201,2025-07-04 01:39:47+00:00,"Atelectasis, Pulmonary Edema, Acute Respiratory Distress Syndrome, Chronic Obstructive Pulmonary Disease","#Pathology, #Pulmonology","In cardiogenic pulmonary edema, which ultrastructural alteration of the alveolar-capillary barrier most contributes to fluid transudation?",Increased hydrostatic pressure causing widening of intercellular endothelial clefts without endothel,"Elevated hydrostatic pressure causes widening of endothelial intercellular junctions, allowing fluid leakage without direct endothelial injury or increased permeability.",Disruption of tight junctions between alveolar epithelial cells,Endothelial cell fenestration increase leading to raised permeability,Increased hydrostatic pressure causing widening of intercellular endothelial clefts without endothel,Basement membrane thickening impairing fluid clearance
10549,3202,2025-07-04 01:41:33+00:00,"Atelectasis, Pulmonary Edema, Acute Respiratory Distress Syndrome, Chronic Obstructive Pulmonary Disease","#Pathology, #Pulmonology",Which of the following microscopic features is typically seen in the lungs during the early phase of pulmonary edema?,"Alveolar spaces filled with eosinophilic, proteinaceous fluid without significant inflammatory cells","Early pulmonary edema is characterized by accumulation of protein-rich fluid in alveolar spaces, visible microscopically as eosinophilic material, typically without marked inflammation.","Alveolar spaces filled with eosinophilic, proteinaceous fluid without significant inflammatory cells",Dense neutrophilic infiltration and alveolar wall necrosis,Extensive fibrosis of alveolar septa with honeycomb change,Granulomatous inflammation with caseous necrosis
10551,3203,2025-07-04 02:31:26+00:00,Ovaries and Fallopian Tube,"#Pathology, #Obstetrics",Which of the following best describes the histologic appearance of a serous cystadenoma of the ovary?,"Cystic spaces lined by ciliated, cuboidal to columnar epithelium resembling the fallopian tube","Serous cystadenomas are benign ovarian tumors with cysts lined by ciliated, tubal-type epithelium. They are typically unilocular or multilocular but lack atypia or invasion.",Multiloculated cysts lined by mucin-secreting columnar epithelium with nuclear atypia,"Cystic spaces lined by ciliated, cuboidal to columnar epithelium resembling the fallopian tube",Solid nests of transitional epithelium with stromal invasion,Sheets of clear cells with hobnail morphology and high mitotic activity
10553,3204,2025-07-04 02:33:08+00:00,Neoplasms,#Pathology,Napsin A immunohistochemical staining is most useful in identifying which of the following tumor types?,Lung adenocarcinoma,Napsin A is a cytoplasmic protease expressed in type II pneumocytes and is a sensitive and specific marker for lung adenocarcinoma.,Colorectal adenocarcinoma,Hepatocellular carcinoma,Lung adenocarcinoma,Squamous cell carcinoma of the lung
10564,3205,2025-07-04 11:02:57+00:00,Glomerular Diseases,"#Pathology, #Nephrology",What is the primary histopathologic feature seen in the glomeruli of patients with post-streptococcal glomerulonephritis?,Mesangial and endocapillary proliferation with immune complex deposition,Post-streptococcal glomerulonephritis is typically characterized by diffuse proliferative glomerulonephritis with prominent mesangial and endocapillary cell proliferation.,Crescent formation with fibrin deposition,Mesangial and endocapillary proliferation with immune complex deposition,Nodular glomerulosclerosis with hyaline arteriolosclerosis,Focal segmental glomerulosclerosis with podocyte effacement
10566,3206,2025-07-04 11:04:59+00:00,Glomerular Diseases,"#Pathology, #Nephrology",Which of the following glomerular disease patterns is characterized by uniform thickening of the glomerular basement membrane without significant hypercellularity?,Membranous nephropathy,"Membranous nephropathy shows diffuse GBM thickening without hypercellularity, due to subepithelial immune complex deposits.",Minimal change disease,Membranous nephropathy,Post-streptococcal glomerulonephritis,Focal segmental glomerulosclerosis
10573,3207,2025-07-05 00:32:19+00:00,Utility of Molecular Tools in Healthcare,"#Biochemistry, #Pathology","Case: A 45-year-old female presents with a breast mass. A core needle biopsy is performed, and histology reveals features of invasive ductal carcinoma. To determine HER2 gene amplification, the pathologist orders fluorescence in situ hybridization (FISH).

Which of the following best describes the principle of FISH?",Hybridization of fluorescent DNA probes to complementary sequences on chromosomes,"FISH uses fluorescently labeled DNA probes that bind to specific DNA sequences on chromosomes, allowing detection of gene amplifications, deletions, or translocations under a fluorescence microscope.",Detection of specific protein expression using fluorescently labeled antibodies,Hybridization of fluorescent DNA probes to complementary sequences on chromosomes,Amplification of target DNA sequences using fluorescent primers,Sequencing of fluorescently labeled nucleotides during DNA synthesis
10575,3208,2025-07-05 00:34:59+00:00,Introduction to Metabolism,#Biochemistry,"Case: A 3-month-old infant presents with vomiting, lethargy, and hepatomegaly. Laboratory findings show hypoglycemia, elevated lactate, hyperuricemia, and hyperlipidemia. A liver biopsy reveals increased glycogen accumulation with a normal glycogen structure. Newborn screening confirms a deficiency of glucose-6-phosphatase (G6PD).

Which of the following metabolic abnormalities best explains the elevated lactate in this patient?",Shunting of glucose-6-phosphate into anaerobic glycolysis,"This patient has Von Gierke disease (Glycogen Storage Disease type I) due to a deficiency of glucose-6-phosphatase, impairing the final step of gluconeogenesis and glycogenolysis.",Impaired conversion of pyruvate to acetyl-CoA,Increased activity of the pyruvate dehydrogenase complex,Shunting of glucose-6-phosphate into anaerobic glycolysis,Inhibition of glycogen phosphorylase
10577,3209,2025-07-05 00:37:46+00:00,Regulation of Gene Expression,"#Biochemistry, #Pathology","Case: A 60-year-old woman is diagnosed with diffuse large B-cell lymphoma. Molecular analysis of the tumor reveals overexpression of BCL2 protein despite no amplification or mutation of the BCL2 gene itself. Further studies show decreased expression of a specific microRNA (miRNA) that normally targets BCL2 mRNA.

Which of the following best explains how microRNAs regulate gene expression?",They bind to mRNA to induce degradation or inhibit translation,"MicroRNAs (miRNAs) are short RNAs that bind target mRNAs, mainly at the 3’ UTR, to block translation or promote degradation, reducing gene expression.",They bind DNA promoter regions to enhance RNA polymerase binding,They acetylate histones to increase chromatin accessibility,They bind to mRNA to induce degradation or inhibit translation,They function as transcription factors in the nucleus
10579,3210,2025-07-05 00:39:27+00:00,Cell Cycle & Cell Death,#Biochemistry,"Case: A 48-year-old man presents with rapidly enlarging cervical lymphadenopathy. Biopsy confirms a diagnosis of Burkitt lymphoma. Cytogenetic analysis reveals a t(8;14) translocation involving the MYC gene. Further studies show increased cell proliferation and shortened G1 phase.

Which of the following cell cycle regulators is most directly responsible for progression from the G1 phase to the S phase and is activated downstream of MYC overexpression?",Cyclin E-CDK2 complex,"MYC upregulates cyclin D and E, promoting progression through G1 into S phase. Cyclin E-CDK2 is the key complex that phosphorylates Rb, releasing E2F and allowing DNA replication to begin.",p53,Cyclin D-CDK4/6 complex,Retinoblastoma (Rb) protein,Cyclin E-CDK2 complex
10585,3211,2025-07-07 01:35:21+00:00,Pathology of the Breast,#Pathology,"Case: A 55-year-old woman undergoes a lumpectomy for a suspicious breast mass. During surgery, a **frozen section biopsy** is performed to evaluate the margins of excision.

Compared to permanent sections, which of the following is a major limitation of frozen section analysis?",Inferior preservation of tissue architecture,"Frozen sections provide quick results but have poorer tissue preservation, making fine histologic details harder to evaluate than in permanent sections.",Inability to detect malignant cells,Lack of hematoxylin and eosin staining,Inferior preservation of tissue architecture,Requirement of immunohistochemical staining
10587,3212,2025-07-07 01:53:50+00:00,Outpatient Plastic Surgery,"#Pathology, #Surgery","Case: A 35-year-old man presents with a firm, slow-growing nodule on his upper back. The lesion is excised, and histologic examination shows a cyst lined by stratified squamous epithelium with a granular layer and filled with laminated keratin debris.

Which of the following best describes the origin of this lesion?",Invagination of epidermis into the dermis,"An epidermal inclusion cyst arises from epidermal cells that become trapped in the dermis, forming a cyst lined with squamous epithelium that produces keratin.",Dermal proliferation of fibroblasts,Invagination of epidermis into the dermis,Proliferation of sebaceous glands,Malignant transformation of basal keratinocytes
10589,3213,2025-07-07 01:56:30+00:00,Tumors,"#Pathology, #Dermatology","Case: A 25-year-old woman develops a raised, firm scar that extends beyond the boundaries of a previous ear piercing site. Histologic examination shows thick, haphazardly arranged collagen bundles.

Which of the following best describes the underlying pathology?",Overproduction of collagen type III and type I by fibroblasts,"Keloids result from excessive fibroblast activity and overproduction of type I and III collagen, leading to thick scars that extend beyond the original wound margins.",Decreased fibroblast proliferation and collagen synthesis,Excessive collagen type IV deposition in the dermis,Hyperplasia of epidermal keratinocytes,Overproduction of collagen type III and type I by fibroblasts
10591,3214,2025-07-07 01:59:01+00:00,Pathology of the Adrenal Gland,"#Pathology, #Endocrinology","Case: A 40-year-old woman presents with weight gain, facial rounding, and purple abdominal striae. Laboratory tests reveal elevated serum cortisol and ACTH levels. Imaging shows a pituitary microadenoma.

What is the most likely histopathologic finding in her adrenal glands?",Diffuse hyperplasia of the adrenal cortex,"In ACTH-dependent Cushing’s syndrome (e.g., pituitary adenoma), chronic ACTH stimulation leads to bilateral diffuse adrenal cortical hyperplasia, especially of the zona fasciculata.",Cortical atrophy of both adrenal glands,Nodular hyperplasia of the adrenal medulla,Diffuse hyperplasia of the adrenal cortex,Cortical adenoma with capsular invasion
10596,3215,2025-07-07 23:43:04+00:00,Adrenal Insufficiency,"#InternalMedicine, #Endocrinology",In which type of adrenal insufficiency (AI) is hyperpigmentation present?,Primary AI,Patients with primary AI present with hyperpigmentation due to increased production of ACTH which excessively stimulates melanocytes.,Primary AI,Secondary AI,Tertiary AI,
10598,3216,2025-07-07 23:58:27+00:00,Acute Kidney Injury,"#InternalMedicine, #Nephrology","In contrast nephropathy, when do you expect serum creatinine to resolve?",Within 5-7 days,"Rise in Crea w/in 24-48 hours, peaks w/in 3-5 days, resolves w/in 5-7 days (HPIM, p. 2304)",Within 24-48 hours,Within 3-5 days,Within 5-7 days,Within 7-10 days
10600,3217,2025-07-08 00:07:32+00:00,Acute Kidney Injury,"#InternalMedicine, #Nephrology","In sepsis-associated AKI, which of the following operative mechanisms contribute to a reduction in GFR?",Arterial Vasodilation w/ Renal Vasoconstriction,"Arterial systemic vasodilation early in the course of sepsis and renal vasoconstriction d/t SNS activation, RAAS, and increased endothelin/vasopressin",Arterial Vasodilation w/ Renal Vasodilation,Arterial Vasodilation w/ Renal Vasoconstriction,Arterial Vasoconstriction w/ Renal Vasodilation,Arterial Vasoconstriction w/ Renal Vasocontriction
10602,3218,2025-07-08 00:20:10+00:00,Diabetic Emergencies,"#InternalMedicine, #Endocrinology",Which of the following ketones accurately reflect the true ketone body level?,beta hydroxybutyrate,"In DKA, beta-hydroxybutyrate is synthesized at a 3-fold greater rate than acetoacetate and acetone. Serum/plasma assays of beta-HB are preferred as they more accurately reflect true ketone body level.",beta hydroxybutyrate,acetoacetate,acetone,
10609,3219,2025-07-08 02:27:26+00:00,Hepatitis,"#InternalMedicine, #Microbiology, #Virology",Which of the following is the only positive during the window period of hepatitis B infection?,Anti-HBc,IgM anti-HBc is usually the only detectable marker during the window period. This window period is important because it is a time when a person is potentially infectious to others.,HBsAg,HBeAg,Anti-HBc,Anti-HBe
10612,3220,2025-07-08 23:07:03+00:00,Dizziness and Vertigo,#Neurology,A 51/F presents to the ED complaining of severe vertiginous dizziness associated with nausea. Which of the following findings is most consistent with a peripheral cause of vertigo?,Unidirectional horizontal nystagmus,"Gaze-evoked, pure torsional, and rebound (type of primary position nystagmus) nystagmus are central signs (Table 22-1, HPIM, p. 159)",Gaze-evoked nystagmus,Pure torsional nystagmus,Unidirectional horizontal nystagmus,Rebound nystagmus
10615,3221,2025-07-09 01:07:07+00:00,Pathology of Stomach Disorders,#Pathology,Most gastric adenocarcinomas involve the gastric antrum; the _ is involved more.,Lesser curvature,,Lesser curvature,Greater curvature,🤷🏻,
10617,3222,2025-07-09 01:16:56+00:00,Pathology of Intestinal Disorders,#Pathology,Hereditary non-polyposis colorectal cancer tend to occur at _ ages than sporadic colon cancers and are often located in the _ colon.,younger; right,,younger; right,younger; left,older; right,older; left
10623,3223,2025-07-10 01:32:15+00:00,Gestational and Trophoblastic Diseases,"#Pathology, #Obstetrics","Case: A 27-year-old woman at 38 weeks gestation delivers a male infant after prolonged rupture of membranes. Placental histopathology shows neutrophilic infiltration of the umbilical cord.

Which of the following best describes the underlying cause of this finding?",Fetal inflammatory response to intra-amniotic infection,"Funisitis is neutrophilic inflammation of the umbilical cord, indicating a fetal response to ascending intra-amniotic infection, often due to prolonged membrane rupture.",Fetal inflammatory response to intra-amniotic infection,Maternal immune response to fetal antigens,Delayed separation of the placenta,Umbilical artery thrombosis due to preeclampsia
10625,3224,2025-07-10 01:35:31+00:00,Pathology of Stomach Disorders,#Pathology,"Case: A 55-year-old man undergoes endoscopic resection of a submucosal gastric mass. Histology reveals a spindle cell tumor. Immunohistochemical staining shows strong positivity for CD117 and DOG1, with negative staining for S100 and desmin.

Which of the following is the most likely diagnosis?",Gastrointestinal stromal tumor (GIST),"GIST is the most common gastric spindle cell tumor and is typically positive for CD117 and DOG1, while S100 (seen in schwannoma) and desmin (seen in smooth muscle tumors) are negative.",Gastrointestinal stromal tumor (GIST),Gastric schwannoma,Leiomyoma,Inflammatory fibroid polyp
10627,3225,2025-07-10 01:37:42+00:00,Pathology of Thyroid Disorders,"#Pathology, #Endocrinology","Case: A 34-year-old woman presents with a painless thyroid nodule. Fine-needle aspiration (FNA) cytology reveals overlapping nuclei with finely dispersed chromatin, intranuclear grooves, and occasional intranuclear inclusions. Histology after thyroidectomy confirms the diagnosis.

Which of the following additional histopathologic features is most characteristic of this tumor?",Psammoma bodies and papillary architecture,"Papillary thyroid carcinoma shows features like papillary structures, nuclear clearing (“Orphan Annie eyes”), nuclear grooves, intranuclear inclusions, & psammoma bodies (calcifications).",Sheets of undifferentiated anaplastic cells,Follicles filled with colloid and uniform nuclei,Psammoma bodies and papillary architecture,Dense lymphoplasmacytic infiltrate with fibrosis
10632,3226,2025-07-10 08:15:19+00:00,Cell Physiology,"#Physiology, #Biochemistry",Only form of cell membrane transport which not requires a carrier.,Simple diffusion,"Not carrier mediated, downhill, passive, not require metabolic energy.",Simple diffusion,Facilitated diffusion,Cotransport,Countertransport
10638,3226,2025-07-11 00:26:27+00:00,Hemapathology & Morphology,"#Pathology, #Hematology","Case: A 62-year-old woman presents with painless cervical lymphadenopathy. Lymph node biopsy reveals a nodular architecture composed of small cleaved cells and larger centroblasts. Immunohistochemistry shows positivity for CD20, CD10, and BCL2 within neoplastic follicles.

Which of the following CD markers is most helpful in distinguishing follicular lymphoma from other B-cell lymphomas?",CD10,"CD10 is a germinal center marker expressed in follicular lymphoma but not typically in other small B-cell lymphomas like mantle cell lymphoma (CD5⁺, CD10⁻) or marginal zone lymphoma (CD10⁻, CD5⁻).",CD5,CD10,CD23,CD30
10643,3227,2025-07-11 11:04:29+00:00,Preeclampsia,#Obstetrics,Proteinuria is a required finding to diagnose preeclampsia.,No,"While proteinuria is a common sign of preeclampsia, it is not a requirement for diagnosis. preeclampsia can be diagnosed if hypertension is present along with end-organ damage signs or symptoms.",Yes,No,,
10672,3228,2025-07-16 01:47:20+00:00,Oral Cavity & Palate,"#ORL, #Pathology","Case: A 23-year-old man presents with a painless swelling in the posterior mandible discovered incidentally on a routine dental radiograph. Imaging shows a unilocular radiolucency associated with the crown of an unerupted third molar. Histologic examination reveals a cyst lined by a uniform layer of non-keratinized stratified squamous epithelium with a fibrous connective tissue wall.

Which of the following is the most likely diagnosis?",Dentigerous cyst,"A dentigerous cyst surrounds the crown of an unerupted tooth, often a third molar. It has a thin, non-keratinized epithelial lining and is usually asymptomatic.",Radicular cyst,Dentigerous cyst,Odontogenic keratocyst,Lateral periodontal cyst
10676,3229,2025-07-16 12:19:26+00:00,Ciliopathies,#InternalMedicine,What is the most common phenotype shared by many ciliopathies?,Kidney Cysts,"Due to the critical role of cilia in renal tubular development and function, the presence of kidney cysts is the most common phenotype shared by many ciliopathies (HPIM, p. 2350)",Retinal Degeneration,Intellectual Disability,Polydactyly,Kidney Cysts
10681,3230,2025-07-16 13:13:17+00:00,Autosomal Dominant Polycystic Kidney Disease,"#InternalMedicine, #Nephrology",Kidney stones occur in 20% of ADPKD patients. Majority of these stones are composed of ___,Uric Acid,"Different from the general population, more than half of the stones in ADPKD patients are composed of uric acid d/t distal acidification defects, low urine pH, and hypocitraturia (HPIM, p. 2351)",Calcium Oxalate,Calcium Phosphate,Uric Acid,Struvite
10683,3231,2025-07-16 13:22:00+00:00,Autosomal Dominant Polycystic Kidney Disease,"#InternalMedicine, #Nephrology",Which of the following is the most common extrarenal complication of ADPKD?,Liver Cysts,"Liver cysts derived from biliary epithelia are the most common extrarenal complication (HPIM, p. 2351). ICAs occur 4-5x more frequently in ADPKD patients. MVP - 30%. Colonic diverticulae also occur.",Liver Cysts,Intracranial Aneurysms (ICA),Mitral Valve Prolapse (MVP),Colonic Diverticulae
10698,3232,2025-07-17 10:00:46+00:00,Bone Marrow Failure States,"#InternalMedicine, #Hematology, #Pathology","Case: A 52-year-old woman presents with generalized fatigue, anasarca, and persistent low-grade fever for the past month. Physical examination reveals lymphadenopathy and hepatosplenomegaly. Laboratory findings show thrombocytopenia, elevated alkaline phosphatase, hypoalbuminemia, and elevated C-reactive protein. Imaging demonstrates multiple small lymph nodes and ascites. Bone marrow biopsy reveals mild reticulin fibrosis.

Which of the following best describes this patient’s condition?",Variant of multicentric Castleman disease with systemic inflammation,TAFRO syndrome is a rare systemic inflammatory disorder considered a clinical variant of idiopathic multicentric Castleman disease (iMCD).,Autoimmune disorder characterized by anti-RNP antibodies,Variant of multicentric Castleman disease with systemic inflammation,Hematologic malignancy associated with BCR-ABL1 fusion,Primary myelofibrosis with JAK2 mutation
10700,3233,2025-07-17 10:03:55+00:00,Heart Failure,"#InternalMedicine, #Cardiology","Case: A 74-year-old man with a history of hypertension, chronic kidney disease, and ischemic cardiomyopathy (LVEF 30%) presents for follow-up. He reports mild exertional dyspnea but no chest pain. Physical examination reveals a displaced apical impulse, bilateral basal crackles, and a palpable, pulsatile abdominal mass. Blood pressure is 110/70 mmHg, heart rate 82/min.

Recent echocardiography confirms an ejection fraction of 28% with no significant valvular disease. Abdominal ultrasound shows an infrarenal abdominal aortic aneurysm measuring 6.2 cm in diameter.

Which of the following is the most appropriate next step in management?",Elective endovascular aneurysm repair (EVAR) after optimization of heart failure,"AAA ≥5.5 cm requires repair due to high rupture risk. In patients with severe HFrEF, EVAR is preferred over open repair because of lower perioperative risk.",Begin beta-blocker therapy and re-image the aneurysm in 6 months,Elective endovascular aneurysm repair (EVAR) after optimization of heart failure,Immediate open surgical repair of the aneurysm,Start anticoagulation and schedule repeat ultrasound in 3 months 
10703,3234,2025-07-17 10:06:04+00:00,Endogenous Eczema,"#Pathology, #Dermatology","Case: A 10-year-old boy presents with palpable purpura on the lower extremities, abdominal pain, and arthralgia. Urinalysis shows hematuria and mild proteinuria. A skin biopsy from a purpuric lesion is performed.

Which of the following best describes the primary pathologic finding in this condition?",Deposition of immune complexes containing IgA in small vessels,"IgA vasculitis (Henoch–Schönlein purpura) is an immune complex–mediated small-vessel vasculitis characterized by IgA and C3 deposition in capillaries, venules, and arterioles.",Deposition of immune complexes containing IgA in small vessels,Granulomatous inflammation of medium-sized arteries,Fibrinoid necrosis with anti-neutrophil cytoplasmic antibody positivity,Deposition of IgG and C3 in dermal-epidermal junction
10705,,2025-07-17 10:12:17+00:00,,,Which of the following is the most likely causative organism?,Aspergillus fumigatus,"Nasal sinus mycetoma (fungal ball) is a non-invasive fungal infection, most commonly caused by Aspergillus species (especially A. fumigatus).",Aspergillus fumigatus,Mucor species,Candida albicans,Rhizopus species
10709,3236,2025-07-18 06:35:06+00:00,Chronic Kidney Disease,"#InternalMedicine, #Nephrology","In CKD, anemia is observed as early as stage ___ and is almost universal by stage ___","3, 4",,"1, 2","2, 3","3, 4","4, 5"
10711,3237,2025-07-18 06:38:32+00:00,Chronic Kidney Disease,"#InternalMedicine, #Nephrology","In using EPO, what is your target hemoglobin concentration?",100-115 g/L,"HPIM p. 2317, under Treatment - Anemia",90-100 g/L,100-115 g/L,120-140 g/L,150-180 g/L
10713,3238,2025-07-18 06:45:49+00:00,Chronic Kidney Disease + Renal Replacement Therapy,"#InternalMedicine, #Nephrology",A 37/F has CKD Stage 4. In which of the following scenarios would you immediately initiate dialysis?,Bleeding diathesis,"Indications for starting dialysis: refractory metabolic acidosis, refractory hyperK, fluid overload refractory to diuresis, uremic Sx (enceph, pericard), bleeding diathesis, eGFR <10 (HPIM p. 2321)",Acidosis controlled with bicarbonate,K+ 3.9 on furosemide,Bleeding diathesis,"BUN > 110 mg/dL, w/o symptoms"
10715,3239,2025-07-18 10:05:50+00:00,Gestational and Trophoblastic Diseases,"#Obstetrics, #Pathology","Case: A 29-year-old woman presents with lower abdominal pain and vaginal spotting. Her last menstrual period was 8 weeks ago. Serum β-hCG level is **6,500 mIU/mL**. Transvaginal ultrasound reveals no intrauterine gestational sac. A curettage is performed, and histology of the endometrium shows irregular glands lined by cells with **enlarged, hyperchromatic nuclei, abundant vacuolated cytoplasm, and hobnail appearance**, without significant mitotic activity.

Which of the following is the most likely diagnosis?",Arias-Stella reaction secondary to ectopic pregnancy,High β-hCG with no intrauterine sac indicates ectopic pregnancy. Endometrial glands with large hyperchromatic nuclei and hobnail cells but no mitoses represent a benign Arias-Stella reaction.,Clear cell adenocarcinoma,Endometrial hyperplasia,Arias-Stella reaction secondary to ectopic pregnancy,Choriocarcinoma
10717,3240,2025-07-18 10:12:33+00:00,Common Dermatologic Conditions,"#Dermatology, #Microbiology","All of the following are known to produce multinucleated giant cells resulting in a positive Tzanck smear, EXCEPT:",D. None of the above.,"HSV-1, HSV-2, and VZV are all known to produce multinucleated giant cells resulting in a positive Tzanck smear.",A. HSV-1,B. HSV-2,C. VZV,D. None of the above.
10719,3241,2025-07-18 10:14:10+00:00,Common Dermatologic Conditions,"#Dermatology, #InternalMedicine",Which of the following is TRUE about Shingles/Herpes Zoster?,B. Most common affected dermatome is Thoracic,"(A) In shingles, PAIN  usu. comes before rash. (B) Most common affected dermatome is Thoracic. (C) Most common single nerve involved is TRIGEMINAL nerve.",A. Rash usually comes before pain,B. Most common affected dermatome is Thoracic,C. Most common single nerve involved is Accessory Nerve,D. All of the above
10721,3242,2025-07-18 10:21:07+00:00,Botulism,"#InfectiousDiseases, #InternalMedicine","Among these forms of naturally occurring botulism, which is mostly due to BoNT subtype B?",B. Infant Botulism,Infant botulism is mostly due to BoNT subtype B. Mnemonics: think “B”aby → INFANT botulism.,A. Foodborne Botulism,B. Infant Botulism,C. Wound Botulism,D. None of the above
10723,3243,2025-07-18 11:50:36+00:00,Cancerous skin lesions,"#Dermatology, #InternalMedicine",Which is more common above upper lip?,Basal Cell Carcinoma,"BCC:above upper lip :: SCC:below lower lip.
((Mnemonics: draw a “B” lying down on upper lip, and  “S” lying down on lower lip.))",Basal Cell Carcinoma,Squamous Cell Carcinoma,,
10725,3244,2025-07-18 12:29:50+00:00,Amino Acids & Proteins,#Biochemistry,"All of the following have a primary amino group (-NH2) attached to the alpha-carbon, EXCEPT:",D. Proline,"All AAs, except proline, have primary amino group attached to alpha-carbon. Proline (“imino acid”), has secondary amino group in its structure, part of cyclic structure formed with side chain.",A. Lysine,B. Valine,C. Methionine,D. Proline
10728,3245,2025-07-19 00:38:21+00:00,Acute Kidney Injury,"#InternalMedicine, #Nephrology",Which of the following is the most appropriate definition of AKI?,Decrease in UO to <0.5 mL/kg/hr for longer than 6 hours,"A. at least 0.3 mg/dL; B. within 1 week; D. some patients with AKI, e.g. prerenal, don't have tubular/glomerular damage (HPIM, p. 2301-2302)",Increase from baseline creatinine of at least 0.5 mg/dL within 48 hours,At least 50% increase from baseline concentration within 2 weeks,Decrease in UO to <0.5 mL/kg/hr for longer than 6 hours,"Aside from UO and creatinine, it should be accompanied by tubular/glomerular damage"
10730,3246,2025-07-19 00:42:41+00:00,Acute Kidney Injury,"#InternalMedicine, #Nephrology",44/F on chemotherapy suddenly developed hematuria with no other associated symptoms. Referral to Nephrology revealed type II renal tubular acidosis. Which of the following agents is responsible for her symptoms?,Ifosfamide,Ifosfamide causes hemorrhagic cystitis (hematuria) & Fanconi Syndrome (type 2 RTA). Bevacizumab & Gemcitabine causes thrombotic microangiopathy. Carboplatin causes necrosis of proximal tubular cells.,Bevacizumab,Carboplatin,Gemcitabine,Ifosfamide
10732,3247,2025-07-19 00:48:23+00:00,Acute Kidney Injury,"#InternalMedicine, #Nephrology",21/M recently enrolled in a fitness gym came to the ER d/t generalize body malaise after a cyclinc session. Which of the following laboratory findings will strongly support your impression?,Urine Heme (+) w/ Few RBCs,"Rhabdomyolysis - elevated myoglobin, elevated creatine kinase, urine heme (+) w/ few RBCs (HPIM p. 2303)",Elevated LDH,Urine Heme (+) w/ Few RBCs,Hypocalcemia,Elevated Creatinine
10734,3248,2025-07-19 00:56:25+00:00,Acute Kidney Injury,"#InternalMedicine, #Nephrology","50/F, diabetic, known CKD, came in for 3-day history of diarrhea. Which of the following is NOT COMPATIBLE with pre-renal azotemia?",Urine osmolality 500 mOsm/kg,"Features of Pre-renal Azotemia: volume depletion, e.g. postural hypotension, low JVP; BUN elevation out of proportion to creatinine increase, urine osmolality >500 mOsm/kg, FENa <1% (HPIM p. 2303)",JVP 1 cm H2O from sternal angle,Urine osmolality 500 mOsm/kg,Postural hypotension,BUN elevation out of proportion to creatinine increase
